MS SubClass,Lot Area,Overall Qual,Mas Vnr Area,Total Bsmt SF,Gr Liv Area,TotRms AbvGrd,Garage Area,Bsmt Full Bath,Full Bath,SalePrice,years_to_sell,Roof Style_Hip,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Exter Qual Ord,Bsmt Qual Ord,Heating QC Ord,Kitchen Qual Ord,Fireplace Qu Ord
60,13517,6,289.0,725.0,1479,6,475.0,0.0,2,130500,34,0,0,0,0,4,3.0,5,4,0.0
60,11492,7,132.0,913.0,2122,8,559.0,1.0,2,220000,13,0,0,0,0,4,4.0,5,4,3.0
20,7922,5,0.0,1057.0,1057,5,246.0,1.0,1,109000,57,0,0,0,0,3,3.0,3,4,0.0
60,9802,5,0.0,384.0,1444,7,400.0,0.0,2,174000,4,0,0,0,0,3,4.0,4,3,0.0
50,14235,6,0.0,676.0,1445,6,484.0,0.0,2,138500,110,0,0,0,0,3,2.0,3,3,0.0
20,16492,6,0.0,1517.0,1888,6,578.0,0.0,2,190000,44,0,0,0,0,4,3.0,5,4,4.0
180,3675,6,82.0,547.0,1072,5,525.0,1.0,2,140000,1,0,0,0,0,3,4.0,4,3,0.0
20,12160,5,180.0,1188.0,1188,6,531.0,1.0,1,142000,51,1,0,0,0,3,3.0,2,3,0.0
20,15783,5,0.0,924.0,924,6,420.0,0.0,1,112500,55,0,0,0,0,3,3.0,3,3,0.0
60,11606,5,192.0,1040.0,2080,9,504.0,0.0,1,135000,38,0,0,0,0,3,4.0,3,2,3.0
160,1680,6,232.0,483.0,987,4,264.0,0.0,1,85400,37,0,0,0,0,3,3.0,3,3,0.0
20,7488,7,0.0,1208.0,1208,6,632.0,0.0,2,183600,1,0,0,0,0,4,4.0,5,4,0.0
70,26400,5,0.0,0.0,2016,7,576.0,0.0,1,131000,129,0,0,0,0,4,0.0,5,3,3.0
160,2645,8,456.0,960.0,1607,7,480.0,1.0,2,200000,9,0,0,0,0,4,4.0,5,4,0.0
20,9627,7,0.0,1351.0,1361,6,610.0,0.0,2,193000,1,0,0,0,0,4,4.0,5,4,0.0
20,10114,5,0.0,1430.0,1430,7,624.0,0.0,2,173500,6,0,0,0,0,3,5.0,5,4,0.0
70,4571,5,0.0,624.0,1344,7,513.0,0.0,1,98000,92,0,0,0,0,3,3.0,2,3,0.0
20,8816,5,0.0,1121.0,1121,5,480.0,1.0,1,139000,46,0,0,0,0,3,3.0,3,3,0.0
20,8197,6,148.0,660.0,1285,7,528.0,0.0,1,143500,30,0,0,0,0,3,3.0,5,3,3.0
60,8640,7,0.0,756.0,1547,7,614.0,0.0,2,215200,1,0,0,0,0,3,4.0,5,4,0.0
20,8724,5,0.0,894.0,894,5,450.0,0.0,1,129000,39,0,0,0,0,3,4.0,4,3,1.0
120,5664,8,0.0,1501.0,1659,5,499.0,1.0,2,278000,9,0,0,0,1,4,4.0,5,5,5.0
60,12867,8,0.0,1209.0,2253,8,575.0,0.0,2,344133,1,0,0,1,0,4,5.0,5,5,4.0
20,7980,6,0.0,1168.0,1187,6,420.0,1.0,2,185000,18,0,0,0,0,3,4.0,5,3,0.0
190,34650,5,0.0,1056.0,1056,5,572.0,1.0,1,145000,51,1,0,0,0,3,3.0,3,3,0.0
20,10573,6,3.0,1453.0,1453,6,530.0,1.0,2,187500,48,1,0,0,0,3,3.0,5,3,3.0
20,8450,5,0.0,894.0,894,5,336.0,1.0,1,138500,45,0,0,0,0,3,3.0,5,3,4.0
50,11700,5,0.0,942.0,1938,7,240.0,0.0,2,198000,71,0,0,0,0,3,3.0,5,4,4.0
190,8250,5,0.0,957.0,1991,9,0.0,0.0,2,119600,112,0,0,0,0,3,3.0,2,3,0.0
50,8064,5,0.0,672.0,924,6,576.0,0.0,1,122900,58,0,0,0,0,3,3.0,5,3,1.0
20,9600,8,0.0,2524.0,2524,9,542.0,1.0,2,278000,28,1,0,0,0,4,4.0,3,4,4.0
70,11435,8,0.0,792.0,1517,7,400.0,0.0,1,230000,77,0,0,0,0,3,4.0,2,4,4.0
120,9549,8,0.0,1494.0,1494,6,481.0,1.0,1,270000,11,1,0,0,0,4,4.0,5,5,4.0
20,10950,6,0.0,948.0,948,5,410.0,0.0,1,125000,55,1,0,0,0,3,3.0,3,3,0.0
20,10637,8,336.0,1705.0,1718,7,826.0,1.0,2,297000,2,1,0,0,0,4,5.0,5,4,4.0
20,9000,6,82.0,160.0,1142,5,384.0,0.0,1,113500,51,0,0,0,0,3,4.0,2,3,4.0
160,2665,5,0.0,757.0,1475,6,336.0,0.0,2,127000,29,0,0,0,0,3,3.0,5,3,3.0
20,11751,6,480.0,1844.0,1844,7,546.0,0.0,2,190000,33,1,0,0,0,3,4.0,5,3,3.0
